deviceID,deviceName,category,company,rating
D000,Keep Monitor,Agricultural,TechCorp,4.3
D001,Significant Hub,Industrial Sensor,Smartify,2.1
D002,Action Monitor,Wearable,MediSys,1.5
D003,Ten Monitor,Industrial Sensor,FutureSense,3.4
D004,That Tracker,Industrial Sensor,Innovatek,3.1
D005,Suggest Controller,Medical Device,FutureSense,1.6
D006,Fire Controller,Smart Home,Smartify,4.3
D007,Top Hub,Smart Home,AgroNet,2.4
D008,Home Camera,Agricultural,AutoSmart,1.0
D009,Work Controller,Wearable,FutureSense,2.1
D010,Daughter Controller,Medical Device,Innovatek,4.5
D011,Expect Camera,Wearable,AutoSmart,1.9
D012,Others Camera,Automotive,MediSys,4.2
D013,Least Tracker,Smart Home,AgroNet,1.9
D014,Color Camera,Agricultural,FutureSense,2.0
D015,Hour Monitor,Automotive,FutureSense,1.2
D016,Capital Tracker,Industrial Sensor,TechCorp,1.6
D017,Two Tracker,Industrial Sensor,MediSys,1.6
D018,Lead Hub,Smart Home,TechCorp,1.2
D019,Every Monitor,Smart Home,AutoSmart,5.0
D020,Or Tracker,Smart Home,MediSys,1.9
D021,Product Camera,Smart Home,AgroNet,3.5
D022,Contain Sensor,Agricultural,AgroNet,2.3
D023,Population Camera,Medical Device,Smartify,2.5
D024,On Controller,Agricultural,Innovatek,3.2
D025,Culture Sensor,Medical Device,FutureSense,4.6
D026,Hear Hub,Wearable,Smartify,1.7
D027,Sing Hub,Wearable,Innovatek,3.1
D028,Significant Sensor,Wearable,TechCorp,3.6
D029,Benefit Tracker,Automotive,Innovatek,2.1
D030,Nice Monitor,Smart Home,AgroNet,2.7
D031,Simply Tracker,Wearable,TechCorp,2.5
D032,Itself Tracker,Medical Device,FutureSense,1.7
D033,Pay Controller,Automotive,Smartify,4.8
D034,Mother Camera,Agricultural,AutoSmart,2.3
D035,Compare Sensor,Agricultural,AgroNet,4.0
D036,Choose Controller,Automotive,Smartify,4.0
D037,Describe Camera,Wearable,MediSys,3.3
D038,Serve Tracker,Automotive,TechCorp,2.0
D039,Bank Monitor,Smart Home,MediSys,4.2
D040,Customer Camera,Automotive,Innovatek,3.5
D041,Third Sensor,Wearable,MediSys,4.5
D042,Growth Controller,Smart Home,GreenTech,4.0
D043,Fund Controller,Industrial Sensor,AutoSmart,2.2
D044,Agent Camera,Industrial Sensor,GreenTech,3.9
D045,Low Monitor,Smart Home,GreenTech,2.8
D046,Group Tracker,Industrial Sensor,FutureSense,4.7
D047,Agreement Controller,Agricultural,Innovatek,1.1
D048,Mrs Camera,Wearable,AutoSmart,3.0
D049,Rock Hub,Industrial Sensor,Smartify,4.6
D050,Size Controller,Industrial Sensor,AutoSmart,1.3
